OBS,GC,PG,RI,RPN,RPT,RPU
1970,6.71422693602,-0.100946507707,2.94348898927,0.311871666923,-0.0973741640252,-0.218002151814
1971,6.76532801621,-0.137221321114,2.98543249894,0.309660979171,-0.068992871487,-0.204794412646
1972,6.83020626654,-0.156660324153,3.03398638057,0.268967369897,-0.0616718206555,-0.233363057148
1973,6.84775730329,-0.123892378585,3.09329217309,0.210450724516,-0.111888281745,-0.232193386834
1974,6.69784643326,0.0744399064415,3.07963707218,0.16079330353,-0.194156014441,-0.295147325988
1975,6.73234241444,0.0530351818369,3.08918198771,0.156272696539,-0.212512529073,-0.205639649785
1976,6.78067332068,0.0377416211897,3.12874727628,0.161903626002,-0.174269701635,-0.123290264027
1977,6.80911482221,0.0310257017262,3.16532185653,0.149898370089,-0.192271887647,-0.102431183647
1978,6.82278865891,0,3.20950692005,0.150638823716,-0.235877661263,-0.155685599545
1979,6.72571939567,0.194642041182,3.21512223247,0.119312321778,-0.279451573315,-0.187292569516
1980,6.64719855274,0.393254944201,3.19916833868,0.0702865327282,-0.177478932318,-0.279624011122
1981,6.63568851695,0.397734533993,3.20799172485,0.0303381880609,-0.0600747180357,-0.167254124672
1982,6.63418087404,0.283268200558,3.216510335,0.00928320230355,-0.0167193027291,-0.0831563583468
1983,6.73366424809,0.206948865394,3.25670539474,0.00300752106396,-0.00100452042601,-0.00907721815112
1984,6.8000269093,0.142394787576,3.32475208816,-0.0106435450841,0.017175994771,0.0795243235393
1985,6.85400341118,0.105732193789,3.35637239411,-0.0140386021077,0.0265948732301,0.0551427530288
1986,6.99996525728,-0.163163190231,3.39341167712,0.00908271457432,0.0653365602838,-0.00732604009207
1987,6.99829490713,-0.171465207828,3.41619584265,0.00876429799359,0.063933144272,-0.00441112316498
1988,7.04282464807,-0.204717569368,3.45692714327,-0.0119049025063,0.041396639186,-0.00253914651868
1989,7.05554073018,-0.156842471493,3.47783479417,-0.0394788109738,0.0433993155346,-0.0294620327303
1990,7.03709548507,-0.0713456206367,3.49197620023,-0.0771140750334,0.08713888735,-0.105615585166
1991,7.04573433297,-0.129971552199,3.49209254326,-0.0834135318134,0.0891505459746,-0.142592670512
1992,7.04824768158,-0.164659493997,3.52308486236,-0.0886325958526,0.0761423538949,-0.129973936009
1993,7.09671149831,-0.208544751893,3.53088923274,-0.0942726559347,0.144714304864,-0.0761862548554
1994,7.14522166146,-0.232975805468,3.55117511003,-0.0859078271259,0.148931763951,-0.0448505661654
1995,7.17391062462,-0.234858890322,3.57182204096,-0.0920347101219,0.143407008491,0.0265473667277
1996,7.17791279506,-0.197347846069,3.58869284039,-0.104015906277,0.147848425785,0.000637145609321
1997,7.19513327732,-0.217706644717,3.61835002222,-0.124581795873,0.151209107978,-0.0603520732914
1998,7.28870100314,-0.379725609907,3.65236183278,-0.147120236686,0.154851573495,-0.079122885441
1999,7.30126274673,-0.310755348616,3.68515102355,-0.176814539404,0.171155000444,-0.0917152088865
